State,PISTOL,REVOLVER,RIFLE,SHOTGUN,DERRINGER,MACHINEGUN,RECEIVER/FRAME,COMBINATION GUN,UNKNOWN TYPE,SILENCER,ANY OTHER WEAPON,DESTRUCTIVE DEVICE,FLARE GUN,TEAR GAS LAUNCHER,TOTAL
Alabama,3172,1089,616,533,83,30,4,1,1,2,2,0,0,2,5535
Alaska,440,150,242,143,5,22,1,4,0,1,1,1,0,0,1010
Arizona,3802,1008,1504,868,61,88,16,7,14,3,1,3,0,1,7376
Arkansas,1563,556,396,345,36,22,17,3,3,0,0,0,0,0,2941
California,14205,6687,6633,4130,272,110,183,39,26,8,41,2,7,0,32343
Colorado,1621,510,526,272,28,25,2,4,4,3,2,6,0,0,3003
Connecticut,393,164,126,88,9,12,5,1,2,7,1,1,0,0,809
Delaware,476,215,139,186,9,0,1,1,1,0,0,0,0,1,1029
District of columbia,818,320,82,101,5,2,2,0,1,0,0,0,0,0,1331
Florida,10341,3556,2538,1865,174,85,50,13,14,10,4,11,1,0,18662
Georgia,6665,2031,1248,962,75,48,5,2,6,2,6,2,0,0,11052
Guam,24,4,20,3,0,0,0,0,0,0,0,0,0,0,51
Hawaii,60,28,60,36,2,7,8,0,0,0,2,0,0,0,203
Idaho,353,122,229,107,11,7,0,0,0,0,2,2,0,0,833
Illinois,5627,2676,1317,1098,116,61,4,6,7,0,1,2,0,0,10915
Indiana,3355,1043,716,738,53,29,6,0,2,2,3,2,0,0,5949
Iowa,595,164,255,239,5,12,2,1,1,1,0,0,0,0,1275
Kansas,1257,335,355,270,20,11,9,0,1,0,0,2,0,0,2260
Kentucky,1564,590,561,385,50,31,64,1,14,0,1,1,0,0,3262
Louisiana,4061,1271,799,743,62,22,4,3,4,2,0,3,1,0,6975
Maine,150,66,117,87,7,2,1,1,1,4,0,0,0,0,436
Maryland,3145,1426,1803,1484,40,40,11,13,6,4,3,1,1,0,7977
Massachusetts,903,344,174,125,17,2,3,2,0,0,0,1,0,0,1571
Michigan,3434,1282,1089,848,51,17,58,3,16,1,2,1,0,0,6802
Minnesota,1234,371,505,473,20,18,1,1,4,0,8,1,0,0,2636
Mississippi,1031,378,285,216,34,9,0,0,1,2,0,2,0,0,1958
Missouri,2667,684,866,459,40,22,33,2,7,0,2,1,0,0,4783
Montana,196,86,168,72,1,10,0,0,3,1,0,0,0,0,537
Nebraska,863,305,654,236,6,9,2,6,1,0,1,0,0,0,2083
Nevada,1891,560,525,331,37,21,1,0,1,2,0,0,0,0,3369
New hampshire,80,18,40,27,1,3,5,0,0,0,0,1,0,0,175
New jersey,1983,1007,403,388,28,11,6,1,1,1,3,0,1,1,3834
New mexico,712,223,365,195,18,16,1,1,6,1,0,0,1,0,1539
New york,3993,2221,1199,965,103,22,21,2,4,1,2,6,0,0,8539
North carolina,5580,2111,1890,1607,119,43,10,3,4,0,2,1,0,1,11371
North dakota,102,30,67,49,0,6,0,0,1,0,0,0,0,0,255
Ohio,6073,1904,1227,1221,96,40,8,8,7,2,3,3,1,0,10593
Oklahoma,752,230,366,218,13,17,5,3,2,3,0,0,0,0,1609
Oregon,1523,588,947,488,35,15,1,5,2,0,0,2,0,0,3606
Pennsylvania,4883,1862,1514,948,75,132,10,12,18,1,1,3,0,0,9459
Puerto rico,644,69,86,11,0,0,6,0,2,0,1,0,0,1,820
Rhode island,177,73,30,24,2,1,0,0,0,0,0,0,0,0,307
South carolina,2427,887,473,467,31,16,1,3,2,0,0,0,0,0,4307
South dakota,56,21,63,36,2,4,2,0,0,0,0,0,0,0,184
Tennessee,3953,1397,949,810,84,47,7,7,31,1,4,0,0,0,7290
Texas,8117,2412,2674,1872,110,99,34,8,17,6,7,3,2,0,15361
Us virgin islands,125,19,5,10,1,0,0,0,0,0,0,0,0,0,160
Utah,583,166,327,134,9,25,14,1,0,0,1,0,0,0,1260
Vermont,92,27,90,43,3,7,0,0,0,0,0,0,0,0,262
Virginia,3964,1121,1254,887,67,38,2,6,19,0,1,1,0,0,7360
Washington,1983,651,797,451,31,25,3,2,2,1,5,3,0,0,3954
West virginia,352,143,222,153,13,19,0,0,1,0,0,0,0,0,903
Wisconsin,1765,564,629,440,25,15,4,2,6,0,14,1,0,0,3465
Wyoming,63,30,56,11,0,7,0,0,2,0,1,0,0,0,170
Total,125888,45795,40221,28898,2195,1382,633,178,268,72,128,69,15,7,245749
,,,,,,,,,,,,,,,
