State,PISTOL,REVOLVER,RIFLE,SHOTGUN,DERRINGER,UNKNOWN,RECEIVER / FRAME,MACHINEGUN,ANY OTHER WEAPON,COMBINATION GUN,SILENCER,DESTRUCTIVE DEVICE,FLARE GUN,TEAR GAS LAUNCHER,TOTAL
Alabama,3340,868,830,617,62,9,20,16,1,1,1,2,0,0,5767
Alaska,480,116,148,75,7,1,13,2,1,2,0,0,0,0,845
Arizona,5075,1086,1466,766,66,2,71,20,6,7,2,3,0,0,8570
Arkansas,676,212,196,129,10,0,1,6,1,0,0,1,0,0,1232
California,17488,6779,7926,4267,277,33,141,89,11,16,8,2,6,0,37043
Colorado,2269,661,809,431,36,10,22,15,4,2,1,0,0,0,4260
Connecticut,466,183,130,85,6,1,2,5,0,2,0,0,0,0,880
Delaware,807,169,125,136,2,1,5,0,0,0,0,0,0,0,1245
District of columbia,972,295,101,82,12,0,2,1,0,0,0,0,0,0,1465
Florida,11522,3419,2400,1525,160,16,265,32,10,12,16,5,3,0,19385
Georgia,8014,1784,1157,817,100,12,9,25,3,1,8,3,0,0,11933
Guam,19,3,9,6,1,0,1,0,0,0,0,1,0,0,40
Hawaii,35,18,38,15,0,0,0,2,0,0,0,0,0,0,108
Idaho,494,158,279,130,8,0,4,19,0,1,1,0,0,0,1094
Illinois,7220,2584,1309,1080,123,8,22,28,4,11,0,0,0,1,12390
Indiana,3888,883,592,522,71,1,24,10,1,1,4,0,0,0,5997
Iowa,892,217,293,206,9,0,17,6,2,2,0,1,0,0,1645
Kansas,1383,308,345,258,27,0,10,10,3,1,0,0,0,0,2345
Kentucky,1990,552,373,284,39,44,9,12,2,3,3,0,0,0,3311
Louisiana,4622,1318,996,735,62,4,18,5,0,5,37,1,0,1,7804
Maine,188,50,104,60,6,0,0,2,0,0,0,0,0,0,410
Maryland,3554,1362,1690,1426,47,6,26,6,2,11,6,1,2,0,8139
Massachusetts,1007,344,202,138,27,2,1,22,0,1,0,0,0,0,1744
Michigan,3839,1354,955,703,55,10,18,9,0,5,1,0,0,1,6950
Minnesota,1472,393,497,371,20,1,12,9,2,2,0,1,0,0,2780
Mississippi,2063,681,416,297,24,6,1,2,0,1,0,2,0,0,3493
Missouri,3620,737,693,434,48,2,14,22,10,3,1,1,0,0,5585
Montana,328,113,342,102,10,3,28,2,3,2,1,2,0,0,936
Nebraska,804,213,286,235,13,1,0,1,0,1,0,0,0,0,1554
Nevada,1165,293,269,154,13,1,22,24,1,1,1,0,0,0,1944
New hampshire,121,43,57,28,3,1,1,0,1,0,0,0,0,0,255
New jersey,2032,907,468,317,22,2,20,35,0,0,0,3,0,0,3806
New mexico,1399,359,456,237,25,5,2,5,0,1,1,0,0,0,2490
New york,4041,1822,997,821,81,5,17,10,6,2,0,0,1,0,7803
North carolina,6344,1983,1793,1443,104,1595,446,82,234,4,9,1,1,0,14039
North dakota,220,43,124,75,2,10,2,8,0,0,0,0,0,0,484
Ohio,6359,1707,1015,672,97,21,49,42,3,1,6,36,0,0,10008
Oklahoma,814,223,334,160,16,3,7,11,1,2,0,2,0,0,1573
Oregon,1742,539,833,384,31,0,16,6,1,4,3,3,0,0,3562
Pennsylvania,4775,1653,1441,864,95,6,6,17,4,5,0,1,0,0,8867
Puerto rico,392,42,54,9,1,0,13,5,0,0,0,0,0,0,516
Rhode island,237,77,40,19,4,0,0,0,0,0,0,0,0,0,377
South carolina,2577,946,1135,1548,31,15,7,10,1,6,0,0,1,0,6277
South dakota,218,52,133,72,20,0,0,1,1,0,0,0,0,0,497
Tennessee,5189,1619,1082,793,70,38,21,24,0,0,0,1,2,2,8841
Texas,13331,3002,2995,2119,159,28,103,56,4,8,5,7,0,0,21817
Us virgin islands,135,27,13,3,1,0,1,0,0,0,0,0,0,0,180
Utah,699,202,250,137,6,0,9,7,1,1,2,0,0,0,1314
Vermont,74,40,74,30,1,0,1,3,0,1,0,0,0,0,224
Virginia,4794,1146,1055,718,49,3,23,21,4,4,3,2,1,0,7823
Washington,1993,552,886,431,36,5,19,13,0,1,2,1,0,0,3939
West virginia,527,151,521,219,15,5,3,5,0,6,1,0,0,0,1453
Wisconsin,2468,468,478,316,23,2,3,0,3,3,2,2,0,0,3768
Wyoming,91,36,63,18,1,0,0,2,0,0,0,0,0,0,211
Total,150264,44792,41273,27519,2234,1918,1547,765,331,143,125,85,17,5,271018
,,,,,,,,,,,,,,,
