State,ANY OTHER WEAPON,COMBINATION,DERRINGER,DESTRUCTIVE DEVICE,FLARE GUN,MACHINEGUN,PISTOL,RECEIVER / FRAME,REVOLVER,RIFLE,SHOTGUN,SILENCER,TEAR GAS LAUNCHER,UNKNOWN TYPE,TOTAL
Alabama,9,1,59,3,0,24,3804,3,857,736,437,2,0,13,5948
Alaska,0,0,3,0,0,3,521,2,138,282,147,0,0,2,1098
Arizona,5,5,69,2,1,26,5321,36,1107,1377,812,15,0,16,8792
Arkansas,0,2,22,0,0,14,1592,6,501,478,370,0,0,108,3093
California,7,22,269,12,1,114,19694,88,6888,7594,4280,15,2,48,39034
Colorado,0,3,37,1,0,8,2814,10,704,734,432,3,0,18,4764
Connecticut,0,1,3,1,0,4,395,6,137,69,157,0,0,0,773
Delaware,0,0,9,1,0,2,650,0,180,122,113,0,0,0,1077
District of columbia,0,0,13,0,1,0,1374,1,356,116,104,0,0,4,1969
Florida,18,9,113,5,0,45,12675,31,3055,2251,1272,4,0,9,19487
Georgia,0,2,108,3,3,36,9818,41,2063,1185,777,3,0,3,14042
Guam,0,1,1,0,0,0,15,0,7,18,7,0,0,1,50
Hawaii,0,0,1,0,0,3,70,1,29,63,35,0,0,0,202
Idaho,2,0,8,0,0,14,572,8,146,206,102,0,0,0,1058
Illinois,13,5,125,1,1,20,7908,9,2369,1101,906,0,0,9,12467
Indiana,1,5,51,2,1,4,4773,5,1010,691,487,1,0,0,7031
Iowa,0,3,13,0,0,4,1016,2,235,295,286,0,0,3,1857
Kansas,0,2,22,0,0,30,1709,4,304,369,262,0,0,1,2703
Kentucky,3,0,30,0,0,8,2856,8,645,447,293,1,1,63,4355
Louisiana,5,1,53,0,0,4,5229,10,1238,1015,717,8,0,2,8282
Maine,0,0,5,0,0,0,180,0,37,73,51,0,0,0,346
Maryland,3,4,53,17,0,19,3850,75,1388,1852,1391,6,1,6,8665
Massachusetts,0,0,7,1,0,4,1155,94,353,235,100,0,1,1,1951
Michigan,7,2,39,3,0,11,3783,14,855,869,581,0,1,9,6174
Minnesota,6,2,21,0,0,6,1694,4,399,581,491,0,0,5,3209
Mississippi,0,2,47,0,0,3,2589,2,831,530,456,0,0,2,4462
Missouri,1,3,32,2,0,14,4589,8,828,735,430,2,0,7,6651
Montana,0,2,6,0,0,8,333,6,150,280,95,2,1,2,885
Nebraska,0,2,12,1,0,4,852,2,182,244,213,0,0,1,1513
Nevada,0,1,3,0,0,3,608,8,159,165,86,2,0,0,1035
New hampshire,1,0,1,0,0,9,142,0,32,40,24,0,0,1,250
New jersey,0,1,32,0,0,7,2268,6,937,367,296,0,0,4,3918
New mexico,1,0,18,0,0,3,1371,9,298,314,215,0,0,1,2230
New york,4,1,76,0,0,8,4373,44,1880,1168,781,0,0,3,8338
North carolina,2,4,88,2,0,192,7341,8,2035,1698,1343,0,0,3,12716
North dakota,0,0,3,0,0,2,275,2,61,212,118,0,0,1,674
Ohio,6,3,85,2,0,16,7162,5,1578,763,638,0,0,5,10263
Oklahoma,0,1,14,1,0,3,868,116,228,326,173,0,0,1,1731
Oregon,3,3,24,0,0,12,1758,5,545,849,398,2,0,4,3603
Pennsylvania,4,11,68,2,2,19,5465,6,1626,1279,789,1,0,15,9287
Puerto rico,0,0,1,0,0,5,530,4,50,79,17,0,0,1,687
Rhode island,0,0,6,0,1,0,250,0,75,49,34,0,0,0,415
South carolina,2,2,26,0,0,3,3363,13,839,503,487,9,0,0,5247
South dakota,0,1,2,0,0,2,296,1,70,172,103,2,0,1,650
Tennessee,12,1,105,2,0,15,6402,10,1596,1147,812,2,0,27,10131
Texas,3,9,160,6,1,57,15740,210,3032,3337,2235,6,0,26,24822
Us virgin islands,0,0,1,0,0,0,130,0,12,9,3,0,0,0,155
Utah,0,0,11,0,0,34,804,9,172,352,168,1,0,3,1554
Vermont,0,0,3,0,0,5,73,1,35,46,22,0,0,1,186
Virginia,2,8,43,2,0,20,5547,14,1077,1088,636,3,0,9,8449
Washington,2,4,32,2,0,15,2236,9,601,906,453,5,0,3,4268
West virginia,0,2,22,0,0,4,827,0,265,368,214,1,0,3,1706
Wisconsin,2,1,31,0,0,7,2970,9,616,593,455,1,0,20,4705
Wyoming,1,0,8,1,0,3,112,1,44,71,24,0,0,0,265
Total,125,132,2094,75,12,876,172742,966,44855,40449,26328,97,7,465,289223
,,,,,,,,,,,,,,,
