State,Any Other Weapon,Combination,Derringer,Destructive Device,Flare Gun,Machinegun,Pistol,Receiver/Frame,Revolver,Rifle,Shotgun,Silencer,Tear Gas Launcher,Unknown Type,TOTAL
Alabama,2,5,47,1,0,4,4382,7,882,841,486,2,0,7,6666
Alaska,0,1,5,0,0,2,607,12,161,198,87,0,0,2,1075
Arizona,28,2,35,3,2,27,3748,46,786,1240,581,133,2,5,6638
Arkansas,0,1,12,0,0,2,924,3,190,264,126,1,0,2,1525
California,6,12,265,5,1,173,21830,253,6681,7902,4342,10,1,46,41527
Colorado,6,3,23,0,0,10,3083,16,668,704,387,2,0,3,4905
Connecticut,0,2,9,0,1,4,686,0,257,229,159,0,0,12,1359
Delaware,0,0,4,1,0,2,718,10,159,113,107,0,0,0,1114
District of columbia,0,0,8,0,1,2,1607,1,280,116,81,0,0,5,2101
Florida,5,9,141,3,1,31,13950,35,3130,2436,1328,7,0,12,21088
Georgia,0,3,79,1,1,19,10850,17,1905,1449,858,6,0,2,15190
Guam,0,0,0,0,0,0,15,0,4,15,4,0,0,0,38
Hawaii,0,0,1,1,0,1,48,0,28,43,17,0,0,0,139
Idaho,2,0,8,0,0,13,654,5,196,311,158,2,0,5,1354
Illinois,7,4,86,0,0,13,9870,19,2217,1018,791,0,2,10,14037
Indiana,6,3,67,6,0,22,5626,9,1044,858,546,7,0,6,8200
Iowa,0,2,14,1,0,5,1266,3,268,337,299,0,0,2,2197
Kansas,0,4,22,0,0,10,1919,0,319,395,271,8,0,1,2949
Kentucky,0,3,51,1,0,12,3517,36,721,917,529,4,3,52,5846
Louisiana,0,1,68,0,0,16,6601,4,1349,1346,766,0,0,6,10157
Maine,0,3,3,0,0,1,188,1,42,94,55,0,0,0,387
Maryland,2,9,47,0,3,10,3948,32,1274,1832,1476,5,0,10,8648
Massachusetts,0,2,11,0,0,0,1256,2,343,200,126,0,0,3,1943
Michigan,1,7,51,4,1,21,4174,16,1005,918,590,1,0,14,6803
Minnesota,1,2,19,0,0,6,2142,3,387,621,477,0,0,4,3662
Mississippi,0,1,45,0,0,4,2626,6,667,629,426,0,0,0,4404
Missouri,3,2,48,1,0,4,4756,7,725,596,394,0,0,5,6541
Montana,0,0,6,0,0,2,317,4,91,288,89,0,0,1,798
Nebraska,1,0,5,0,0,5,936,2,232,306,276,0,0,0,1763
Nevada,1,2,26,1,0,5,3417,8,645,579,361,0,0,1,5046
New hampshire,0,0,2,0,0,1,157,4,34,58,42,0,0,1,299
New jersey,4,1,15,0,0,3,2439,0,859,382,297,0,0,2,4002
New mexico,2,1,16,0,0,2,1270,4,299,295,192,9,0,0,2090
New york,2,1,80,7,0,15,5131,6,1892,1165,831,0,0,21,9151
North carolina,2,4,93,0,0,4,8800,22,2162,2071,1493,2,0,6,14659
North dakota,0,0,3,0,0,3,271,1,55,139,91,2,0,0,565
Ohio,0,1,94,2,0,6,8964,15,1702,1132,823,1,1,7,12748
Oklahoma,2,3,15,1,0,626,1360,10,207,375,168,764,0,3,3534
Oregon,0,0,40,2,2,9,2192,12,662,976,469,3,0,1,4368
Pennsylvania,7,11,74,1,1,12,6692,25,1736,1330,872,1,0,12,10774
Puerto rico,0,0,1,0,0,2,740,7,71,140,22,0,0,5,988
Rhode island,0,0,5,0,0,0,307,0,79,52,25,0,0,0,468
South carolina,1,2,35,1,0,19,4253,2,1012,603,490,0,0,5,6423
South dakota,2,1,2,0,0,5,302,2,75,202,88,0,0,1,680
Tennessee,0,2,91,2,0,33,7328,16,1689,1240,751,3,0,13,11168
Texas,9,10,160,2,1,56,18619,58,3231,3486,2262,20,2,42,27958
Us virgin islands,0,0,0,0,0,0,88,0,20,11,3,0,0,0,122
Utah,0,0,10,1,0,20,962,2,209,321,136,3,0,4,1668
Vermont,0,0,0,0,0,0,65,0,15,44,31,0,0,0,155
Virginia,0,5,54,1,0,6,6708,31,1229,1199,784,1,0,3,10021
Washington,4,3,43,0,0,5,2702,25,752,986,574,6,0,2,5102
West virginia,0,2,25,2,1,5,949,10,253,464,238,0,0,1,1950
Wisconsin,2,4,19,1,0,4,3398,3,474,552,338,0,0,1,4796
Wyoming,0,0,4,0,0,3,150,1,34,67,28,1,0,1,289
Total,108,134,2087,52,16,1265,199508,813,45407,44085,27241,1004,11,347,322078
,,,,,,,,,,,,,,,
