State,Any Other Weapons,Combinations,Derringers,Destructive Devices,Flare Guns,Machineguns,Pistols,Receivers/Frames,Revolvers,Rifles,Shotguns,Silencers,Tear Gas Launchers,Unknown Types,TOTAL
Alabama,4,4,51,0,1,9,4559,6,761,688,422,6,0,1,6512
Alaska,1,1,8,0,0,1,518,5,123,240,112,0,0,1,1010
Arizona,9,6,37,1,0,68,5065,186,885,1435,543,7,0,9,8251
Arkansas,0,1,20,0,0,2,1547,3,312,279,149,1,0,1,2315
California,15,23,319,6,9,193,22517,284,6505,8262,4253,10,1,91,42488
Colorado,1,2,30,0,2,25,3412,20,631,834,449,4,0,4,5414
Connecticut,0,0,9,1,0,12,780,8,241,270,144,0,0,4,1469
Delaware,1,0,5,0,0,2,694,2,132,126,134,0,0,1,1097
District of columbia,0,1,7,0,0,0,1579,1,269,130,100,0,1,7,2095
Florida,4,7,122,3,2,91,15662,274,3010,2730,1512,23,0,18,23458
Georgia,4,0,93,2,2,23,11842,13,1808,1439,831,0,1,0,16058
Guam,0,1,0,0,0,0,13,2,10,8,8,0,0,0,42
Hawaii,0,0,0,0,0,0,78,3,25,43,26,0,0,1,176
Idaho,0,2,9,1,0,2,751,0,164,292,128,4,0,0,1353
Illinois,9,6,92,2,0,19,10243,20,1885,1065,704,1,0,16,14062
Indiana,4,1,53,3,0,8,5936,13,965,874,627,2,0,7,8493
Iowa,0,2,20,0,0,1,1488,8,288,430,340,0,0,0,2577
Kansas,0,1,15,0,0,8,2348,11,344,434,230,3,0,2,3396
Kentucky,2,0,64,0,0,20,3917,10,859,584,336,1,1,53,5847
Louisiana,4,5,40,1,0,13,6814,9,1242,1023,662,4,0,6,9823
Maine,2,0,1,0,0,1,226,1,40,108,61,0,0,1,441
Maryland,1,13,63,3,4,15,5088,131,1681,2478,1549,45,0,25,11096
Massachusetts,0,2,18,0,0,12,1201,15,327,241,163,0,0,0,1979
Michigan,0,7,31,0,0,19,4025,35,688,751,471,0,0,9,6036
Minnesota,1,1,27,2,0,21,2211,13,433,712,477,1,0,10,3909
Mississippi,2,1,27,0,0,16,2661,12,547,608,325,4,0,2,4205
Missouri,5,3,60,6,0,12,6282,64,829,963,460,5,0,1,8690
Montana,0,0,9,1,0,0,399,9,113,307,105,1,1,2,947
Nebraska,0,1,13,0,0,21,1045,44,217,361,286,2,0,0,1990
Nevada,0,1,16,1,0,17,2351,12,373,505,239,0,0,2,3517
New hampshire,0,0,1,0,0,2,296,4,48,76,48,3,0,0,478
New jersey,1,1,25,0,0,10,2483,2,826,387,295,0,0,4,4034
New mexico,1,2,10,0,0,21,1556,15,305,400,227,13,0,1,2551
New york,0,4,67,0,0,9,4412,39,1553,946,655,1,0,3,7689
North carolina,1,3,91,0,0,34,9397,12,2002,1909,1454,1,0,9,14913
North dakota,0,0,4,0,0,0,357,2,61,150,90,0,0,1,665
Ohio,0,8,78,0,1,34,9308,31,1512,1151,799,2,0,4,12928
Oklahoma,2,3,17,1,0,8,1880,32,247,497,218,8,0,2,2915
Oregon,3,4,30,3,0,4,2492,10,634,1189,487,3,0,0,4859
Pennsylvania,10,4,59,3,0,17,6878,28,1669,1474,907,6,0,11,11066
Puerto rico,2,0,0,0,0,8,711,9,64,94,12,0,0,6,906
Rhode island,1,0,3,0,0,1,300,1,65,93,46,0,0,0,510
South carolina,1,1,44,0,0,7,4802,8,926,735,487,4,0,2,7017
South dakota,0,0,4,1,0,2,341,1,62,220,108,0,0,0,739
Tennessee,7,1,89,3,4,143,8221,16,1511,1207,755,3,0,22,11982
Texas,3,4,165,3,0,58,20182,136,3232,3925,2101,12,0,13,29834
Us virgin islands,0,0,0,0,0,5,75,1,7,5,5,0,0,0,98
Utah,0,1,10,0,0,75,1277,3,216,346,177,1,0,0,2106
Vermont,0,0,0,0,0,2,108,5,27,74,36,0,0,0,252
Virginia,0,0,55,3,0,19,7166,20,1139,1116,630,4,0,4,10156
Washington,4,3,29,3,1,20,3045,27,650,874,458,4,0,2,5120
West virginia,0,4,20,0,0,0,952,1,270,346,196,2,0,1,1792
Wisconsin,1,2,30,1,1,4,3571,9,461,565,319,0,0,1,4965
Wyoming,3,0,3,0,0,0,118,0,40,41,22,0,0,1,228
Total,109,137,2093,54,27,1114,215180,1626,43234,46040,26378,191,5,361,336549
