,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
Firearm Type,Any Other Weapon,2,0,28,0,6,6,0,0,0,5,0,0,0,2,7,6,0,0,0,0,0,2,0,1,1,0,3,0,1,1,0,4,2,2,2,0,0,2,0,7,0,0,1,2,0,9,0,0,0,0,4,0,2,0,108
,Combination,5,1,2,1,12,3,2,0,0,9,3,0,0,0,4,3,2,4,3,1,3,9,2,7,2,1,2,0,0,2,0,1,1,1,4,0,1,3,0,11,0,0,2,1,2,10,0,0,0,5,3,2,4,0,134
,Derringer,47,5,35,12,265,23,9,4,8,141,79,0,1,8,86,67,14,22,51,68,3,47,11,51,19,45,48,6,5,26,2,15,16,80,93,3,94,15,40,74,1,5,35,2,91,160,0,10,0,54,43,25,19,4,2087
,Destructive Device,1,0,3,0,5,0,0,1,0,3,1,0,1,0,0,6,1,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,7,0,0,2,1,2,1,0,0,1,0,2,2,0,1,0,1,0,2,1,0,52
,Flare Gun,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16
,Machinegun,4,2,27,2,173,10,4,2,2,31,19,0,1,13,13,22,5,10,12,16,1,10,0,21,6,4,4,2,5,5,1,3,2,15,4,3,6,626,9,12,2,0,19,5,33,56,0,20,0,6,5,5,4,3,1265
,Pistol,4382,607,3748,924,21830,3083,686,718,1607,13950,10850,15,48,654,9870,5626,1266,1919,3517,6601,188,3948,1256,4174,2142,2626,4756,317,936,3417,157,2439,1270,5131,8800,271,8964,1360,2192,6692,740,307,4253,302,7328,18619,88,962,65,6708,2702,949,3398,150,199508
,Receiver/Frame,7,12,46,3,253,16,0,10,1,35,17,0,0,5,19,9,3,0,36,4,1,32,2,16,3,6,7,4,2,8,4,0,4,6,22,1,15,10,12,25,7,0,2,2,16,58,0,2,0,31,25,10,3,1,813
,Revolver,882,161,786,190,6681,668,257,159,280,3130,1905,4,28,196,2217,1044,268,319,721,1349,42,1274,343,1005,387,667,725,91,232,645,34,859,299,1892,2162,55,1702,207,662,1736,71,79,1012,75,1689,3231,20,209,15,1229,752,253,474,34,45407
,Rifle,841,198,1240,264,7902,704,229,113,116,2436,1449,15,43,311,1018,858,337,395,917,1346,94,1832,200,918,621,629,596,288,306,579,58,382,295,1165,2071,139,1132,375,976,1330,140,52,603,202,1240,3486,11,321,44,1199,986,464,552,67,44085
,Shotgun,486,87,581,126,4342,387,159,107,81,1328,858,4,17,158,791,546,299,271,529,766,55,1476,126,590,477,426,394,89,276,361,42,297,192,831,1493,91,823,168,469,872,22,25,490,88,751,2262,3,136,31,784,574,238,338,28,27241
,Silencer,2,0,133,1,10,2,0,0,0,7,6,0,0,2,0,7,0,8,4,0,0,5,0,1,0,0,0,0,0,0,0,0,9,0,2,2,1,764,3,1,0,0,0,0,3,20,0,3,0,1,6,0,0,1,1004
,Tear Gas Launcher,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11
,Unknown Type,7,2,5,2,46,3,12,0,5,12,2,0,0,5,10,6,2,1,52,6,0,10,3,14,4,0,5,1,0,1,1,2,0,21,6,0,7,3,1,12,5,0,5,1,13,42,0,4,0,3,2,1,1,1,347
,TOTAL,6666,1075,6638,1525,41527,4905,1359,1114,2101,21088,15190,38,139,1354,14037,8200,2197,2949,5846,10157,387,8648,1943,6803,3662,4404,6541,798,1763,5046,299,4002,2090,9151,14659,565,12748,3534,4368,10774,988,468,6423,680,11168,27958,122,1668,155,10021,5102,1950,4796,289,322078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Includes Firearms Recovered and Traced between 1/1/2017 - 12/31/2017, or, if the recovery date was blank, the trace entry date was between 1/1/2017 - 12/31/2017. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Duplicate traces, Firearms Not Recovered, Gun Buyback and Firearms Turned In are not included in the statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Statistics are based on a query of the Firearms Tracing System (FTS) on April 11, 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- All traces may not have been submitted or completed at the time of this analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
